entity,algorithm,track,axis,level,auc_mean,tss_mean,brier_mean,boyce_mean,auc_std,tss_std,brier_std,boyce_std,n_reps_ok,min_folds,benchmark_presence_n,segments,auc_clean,tss_clean,brier_clean,boyce_clean,delta_auc,delta_tss,delta_brier,delta_boyce
Astacus astacus,random_forest,combined,benchmark,0,0.8453,0.4992,0.1433,0.9277,,,,,1,5.0,2058.0,14562.0,0.8453,0.4992,0.1433,0.9277,0.0,0.0,0.0,0.0
Astacus astacus,random_forest,combined,lowacc,3,0.8207,0.4345,0.1565,0.9134,0.0289,0.0601,0.008,0.0742,30,5.0,2058.0,14562.0,0.8453,0.4992,0.1433,0.9277,-0.0246,-0.0647,0.0131,-0.0143
Astacus astacus,random_forest,combined,lowacc,10,0.8095,0.4074,0.1653,0.8711,0.0215,0.0634,0.0082,0.0936,30,5.0,2058.0,14562.0,0.8453,0.4992,0.1433,0.9277,-0.0358,-0.0918,0.0219,-0.0566
Astacus astacus,random_forest,combined,lowacc,20,0.7773,0.3416,0.1731,0.8531,0.0236,0.0508,0.0102,0.0918,30,5.0,2058.0,14562.0,0.8453,0.4992,0.1433,0.9277,-0.068,-0.1576,0.0298,-0.0746
Astacus astacus,random_forest,local_only,benchmark,0,0.8482,0.4806,0.1445,0.9588,,,,,1,5.0,2058.0,14562.0,0.8482,0.4806,0.1445,0.9588,0.0,0.0,0.0,0.0
Astacus astacus,random_forest,local_only,lowacc,3,0.8205,0.4278,0.1572,0.898,0.0291,0.0611,0.0079,0.0851,30,5.0,2058.0,14562.0,0.8482,0.4806,0.1445,0.9588,-0.0277,-0.0528,0.0127,-0.0608
Astacus astacus,random_forest,local_only,lowacc,10,0.8097,0.4001,0.1663,0.8713,0.0224,0.0648,0.0088,0.0899,30,5.0,2058.0,14562.0,0.8482,0.4806,0.1445,0.9588,-0.0385,-0.0805,0.0218,-0.0875
Astacus astacus,random_forest,local_only,lowacc,20,0.7745,0.3328,0.1747,0.8598,0.0223,0.0533,0.0106,0.0963,30,5.0,2058.0,14562.0,0.8482,0.4806,0.1445,0.9588,-0.0737,-0.1478,0.0302,-0.099
Astacus astacus,random_forest,upstream_only,benchmark,0,0.7504,0.374,0.1854,0.8442,,,,,1,5.0,2058.0,14562.0,0.7504,0.374,0.1854,0.8442,0.0,0.0,0.0,0.0
Astacus astacus,random_forest,upstream_only,lowacc,3,0.7236,0.3373,0.1947,0.815,0.0245,0.0408,0.0062,0.0862,30,5.0,2058.0,14562.0,0.7504,0.374,0.1854,0.8442,-0.0268,-0.0366,0.0093,-0.0291
Astacus astacus,random_forest,upstream_only,lowacc,10,0.7161,0.3117,0.1961,0.8119,0.0193,0.0406,0.0057,0.0841,30,5.0,2058.0,14562.0,0.7504,0.374,0.1854,0.8442,-0.0342,-0.0623,0.0107,-0.0323
Astacus astacus,random_forest,upstream_only,lowacc,20,0.6958,0.2631,0.1983,0.8387,0.0226,0.0425,0.0071,0.0736,30,5.0,2058.0,14562.0,0.7504,0.374,0.1854,0.8442,-0.0545,-0.1109,0.0128,-0.0055
Astacus astacus,xgboost,combined,benchmark,0,0.8327,0.429,0.1797,0.6436,,,,,1,5.0,2058.0,14562.0,0.8327,0.429,0.1797,0.6436,0.0,0.0,0.0,0.0
Astacus astacus,xgboost,combined,lowacc,3,0.797,0.3882,0.1925,0.7614,0.0339,0.0657,0.0151,0.1268,30,5.0,2058.0,14562.0,0.8327,0.429,0.1797,0.6436,-0.0356,-0.0408,0.0129,0.1178
Astacus astacus,xgboost,combined,lowacc,10,0.7876,0.3699,0.1991,0.8026,0.0241,0.0646,0.0154,0.1147,30,5.0,2058.0,14562.0,0.8327,0.429,0.1797,0.6436,-0.045,-0.0591,0.0194,0.159
Astacus astacus,xgboost,combined,lowacc,20,0.7581,0.3025,0.2014,0.7203,0.0242,0.0539,0.0219,0.1801,30,5.0,2058.0,14562.0,0.8327,0.429,0.1797,0.6436,-0.0746,-0.1265,0.0217,0.0766
Astacus astacus,xgboost,local_only,benchmark,0,0.8281,0.4244,0.1841,0.6226,,,,,1,5.0,2058.0,14562.0,0.8281,0.4244,0.1841,0.6226,0.0,0.0,0.0,0.0
Astacus astacus,xgboost,local_only,lowacc,3,0.8,0.3956,0.1899,0.7777,0.0337,0.0675,0.0131,0.1111,30,5.0,2058.0,14562.0,0.8281,0.4244,0.1841,0.6226,-0.0281,-0.0288,0.0058,0.1551
Astacus astacus,xgboost,local_only,lowacc,10,0.7923,0.3751,0.1949,0.8202,0.0249,0.0651,0.0146,0.1243,30,5.0,2058.0,14562.0,0.8281,0.4244,0.1841,0.6226,-0.0358,-0.0493,0.0108,0.1976
Astacus astacus,xgboost,local_only,lowacc,20,0.7593,0.3012,0.2008,0.741,0.0238,0.057,0.0214,0.1545,30,5.0,2058.0,14562.0,0.8281,0.4244,0.1841,0.6226,-0.0688,-0.1232,0.0167,0.1184
Astacus astacus,xgboost,upstream_only,benchmark,0,0.7291,0.3246,0.2255,0.6385,,,,,1,5.0,2058.0,14562.0,0.7291,0.3246,0.2255,0.6385,0.0,0.0,0.0,0.0
Astacus astacus,xgboost,upstream_only,lowacc,3,0.703,0.2972,0.234,0.7043,0.0269,0.0449,0.0098,0.0831,30,5.0,2058.0,14562.0,0.7291,0.3246,0.2255,0.6385,-0.0261,-0.0274,0.0084,0.0657
Astacus astacus,xgboost,upstream_only,lowacc,10,0.7022,0.2878,0.2294,0.6875,0.0183,0.0413,0.0102,0.087,30,5.0,2058.0,14562.0,0.7291,0.3246,0.2255,0.6385,-0.027,-0.0368,0.0039,0.049
Astacus astacus,xgboost,upstream_only,lowacc,20,0.6844,0.248,0.2268,0.6921,0.021,0.0409,0.0159,0.0881,30,5.0,2058.0,14562.0,0.7291,0.3246,0.2255,0.6385,-0.0447,-0.0766,0.0012,0.0536
Austropotamobius fulcisianus (pooled),random_forest,combined,benchmark,0,0.8279,0.4154,0.1524,0.9097,,,,,1,5.0,744.0,12681.0,0.8279,0.4154,0.1524,0.9097,0.0,0.0,0.0,0.0
Austropotamobius fulcisianus (pooled),random_forest,combined,lowacc,3,0.8186,0.4009,0.164,0.9006,0.0279,0.0527,0.0272,0.0991,30,5.0,744.0,12681.0,0.8279,0.4154,0.1524,0.9097,-0.0093,-0.0145,0.0116,-0.0091
