entity,algorithm,track,level,n_pixels_total,n_basins,coverage_uncorrected,coverage_conformal,median_width_uncorrected,median_width_conformal,median_q_hat,coverage_gap_pre,coverage_gap_post,width_inflation_factor,entity_dir,coverage,median_signed_diff,mean_abs_diff,auc_cont_oos,tss_cont_oos,brier_cont_oos,n_presence,n_contaminant,auc_clean_oos,tss_clean_oos,delta_auc,competent,passes_gate_contaminated,miscovered,silent_failure
Astacus astacus,consensus,local_only,3,14562,81,0.9748,0.9748,0.2618,0.2618,0.0,0.0248,0.0248,1.0,Astacus_astacus,0.9748,-0.0119,0.0211,0.7964,0.4332,0.1559,2058,62,0.8201,0.4909,-0.0237,True,True,False,False
Astacus astacus,consensus,local_only,10,14562,81,0.8381,0.9079,0.2607,0.3461,0.0519,0.1119,0.0421,1.3277,Astacus_astacus,0.8381,-0.0315,0.0501,0.8104,0.4864,0.1488,2058,206,0.8201,0.4909,-0.0097,True,True,True,True
Astacus astacus,consensus,local_only,20,14562,81,0.7171,0.9273,0.2659,0.5371,0.1454,0.2329,0.0227,2.0195,Astacus_astacus,0.7171,-0.054,0.0852,0.7068,0.2718,0.1785,2058,412,0.8201,0.4909,-0.1133,True,True,True,True
Astacus astacus,consensus,upstream_only,3,14562,81,0.9963,0.9963,0.1253,0.1253,0.0,0.0463,0.0463,1.0,Astacus_astacus,0.9963,-0.0134,0.0132,0.742,0.3378,0.1904,2058,62,0.7533,0.3905,-0.0113,True,True,False,False
Astacus astacus,consensus,upstream_only,10,14562,81,0.5474,0.9865,0.1242,0.1651,0.0205,0.4026,0.0365,1.3301,Astacus_astacus,0.5474,-0.0354,0.0322,0.7472,0.3431,0.1844,2058,206,0.7533,0.3905,-0.0061,True,True,True,True
Astacus astacus,consensus,upstream_only,20,14562,81,0.4953,0.9681,0.1297,0.2222,0.0462,0.4547,0.0181,1.7126,Astacus_astacus,0.4953,-0.0601,0.0561,0.6861,0.2041,0.202,2058,412,0.7533,0.3905,-0.0672,True,False,True,False
Astacus astacus,consensus,combined,3,14562,81,0.967,0.967,0.2521,0.2521,0.0,0.017,0.017,1.0,Astacus_astacus,0.967,-0.0125,0.0218,0.7981,0.4372,0.1536,2058,62,0.8234,0.4982,-0.0253,True,True,False,False
Astacus astacus,consensus,combined,10,14562,81,0.821,0.9072,0.2533,0.3552,0.0617,0.129,0.0428,1.4021,Astacus_astacus,0.821,-0.0316,0.0519,0.8062,0.4707,0.1455,2058,206,0.8234,0.4982,-0.0172,True,True,True,True
Astacus astacus,consensus,combined,20,14562,81,0.6934,0.9227,0.2576,0.5468,0.1563,0.2566,0.0273,2.1228,Astacus_astacus,0.6934,-0.0547,0.0878,0.7209,0.2722,0.1765,2058,412,0.8234,0.4982,-0.1025,True,True,True,True
Austropotamobius fulcisianus (pooled),consensus,local_only,3,12681,55,0.9956,0.9956,0.2856,0.2856,0.0,0.0456,0.0456,1.0,Austropotamobius_fulcisianus_pooled,0.9956,-0.005,0.0144,0.7904,0.3077,0.1983,744,22,0.79,0.3718,0.0004,True,True,False,False
Austropotamobius fulcisianus (pooled),consensus,local_only,10,12681,55,0.9879,0.9879,0.3015,0.3015,0.0,0.0379,0.0379,1.0,Austropotamobius_fulcisianus_pooled,0.9879,-0.0198,0.0271,0.7767,0.3489,0.1826,744,74,0.79,0.3718,-0.0133,True,True,False,False
Austropotamobius fulcisianus (pooled),consensus,local_only,20,12681,55,0.9706,0.9706,0.3085,0.3085,0.0,0.0206,0.0206,1.0,Austropotamobius_fulcisianus_pooled,0.9706,-0.024,0.0371,0.7683,0.2852,0.2147,744,149,0.79,0.3718,-0.0217,True,True,False,False
Austropotamobius fulcisianus (pooled),consensus,upstream_only,3,12681,55,0.9972,0.9972,0.1389,0.1389,0.0,0.0472,0.0472,1.0,Austropotamobius_fulcisianus_pooled,0.9972,-0.0007,0.0059,0.6496,0.1716,0.267,744,22,0.7136,0.2512,-0.064,True,False,False,False
Austropotamobius fulcisianus (pooled),consensus,upstream_only,10,12681,55,0.9846,0.9846,0.1408,0.1408,0.0,0.0346,0.0346,1.0,Austropotamobius_fulcisianus_pooled,0.9846,0.0004,0.0115,0.6802,0.1954,0.2358,744,74,0.7136,0.2512,-0.0334,True,False,False,False
Austropotamobius fulcisianus (pooled),consensus,upstream_only,20,12681,55,0.9758,0.9758,0.138,0.138,0.0,0.0258,0.0258,1.0,Austropotamobius_fulcisianus_pooled,0.9758,0.0006,0.0165,0.6751,0.1699,0.2641,744,149,0.7136,0.2512,-0.0385,True,False,False,False
Austropotamobius fulcisianus (pooled),consensus,combined,3,12681,55,0.9975,0.9975,0.2038,0.2038,0.0,0.0475,0.0475,1.0,Austropotamobius_fulcisianus_pooled,0.9975,-0.0019,0.0085,0.7968,0.3912,0.1917,744,22,0.8403,0.4907,-0.0435,True,True,False,False
Austropotamobius fulcisianus (pooled),consensus,combined,10,12681,55,0.9887,0.9887,0.2248,0.2248,0.0,0.0387,0.0387,1.0,Austropotamobius_fulcisianus_pooled,0.9887,-0.0134,0.0232,0.8157,0.4526,0.15,744,74,0.8403,0.4907,-0.0246,True,True,False,False
Austropotamobius fulcisianus (pooled),consensus,combined,20,12681,55,0.9718,0.9718,0.2269,0.2269,0.0,0.0218,0.0218,1.0,Austropotamobius_fulcisianus_pooled,0.9718,-0.0155,0.0319,0.772,0.3518,0.2142,744,149,0.8403,0.4907,-0.0683,True,True,False,False
Austropotamobius torrentium (pooled),consensus,local_only,3,11872,29,0.984,0.984,0.3428,0.3428,0.0,0.034,0.034,1.0,Austropotamobius_torrentium_pooled,0.984,-0.0104,0.0182,0.8472,0.4388,0.1882,1032,31,0.8492,0.4762,-0.002,True,True,False,False
Austropotamobius torrentium (pooled),consensus,local_only,10,11872,29,0.9227,0.9346,0.3373,0.384,0.0304,0.0273,0.0154,1.1384,Austropotamobius_torrentium_pooled,0.9227,-0.0228,0.0391,0.7816,0.4311,0.1819,1032,103,0.8492,0.4762,-0.0676,True,True,False,False
Austropotamobius torrentium (pooled),consensus,local_only,20,11872,29,0.8505,0.9332,0.3451,0.5592,0.1177,0.0995,0.0168,1.6205,Austropotamobius_torrentium_pooled,0.8505,-0.0372,0.0646,0.7586,0.3289,0.1634,1032,206,0.8492,0.4762,-0.0906,True,True,True,True
Austropotamobius torrentium (pooled),consensus,upstream_only,3,11872,29,0.9944,0.9944,0.1886,0.1886,0.0,0.0444,0.0444,1.0,Austropotamobius_torrentium_pooled,0.9944,-0.0074,0.0099,0.7376,0.3725,0.2237,1032,31,0.7425,0.3978,-0.0049,True,True,False,False
Austropotamobius torrentium (pooled),consensus,upstream_only,10,11872,29,0.9758,0.9758,0.18,0.18,0.0,0.0258,0.0258,1.0,Austropotamobius_torrentium_pooled,0.9758,-0.0212,0.0236,0.7068,0.3251,0.2417,1032,103,0.7425,0.3978,-0.0357,True,True,False,False
Austropotamobius torrentium (pooled),consensus,upstream_only,20,11872,29,0.52,0.9617,0.1665,0.1814,0.0075,0.43,0.0117,1.0896,Austropotamobius_torrentium_pooled,0.52,-0.0493,0.0431,0.6922,0.2909,0.2076,1032,206,0.7425,0.3978,-0.0503,True,False,True,False
Austropotamobius torrentium (pooled),consensus,combined,3,11872,29,0.9841,0.9841,0.3426,0.3426,0.0,0.0341,0.0341,1.0,Austropotamobius_torrentium_pooled,0.9841,-0.0067,0.0149,0.8599,0.4502,0.1772,1032,31,0.8645,0.4845,-0.0046,True,True,False,False
Austropotamobius torrentium (pooled),consensus,combined,10,11872,29,0.9262,0.9384,0.3299,0.376,0.029,0.0238,0.0116,1.1397,Austropotamobius_torrentium_pooled,0.9262,-0.0181,0.0357,0.7838,0.4144,0.1798,1032,103,0.8645,0.4845,-0.0807,True,True,False,False
Austropotamobius torrentium (pooled),consensus,combined,20,11872,29,0.8518,0.9344,0.335,0.5355,0.1098,0.0982,0.0156,1.5987,Austropotamobius_torrentium_pooled,0.8518,-0.0322,0.0594,0.7703,0.3392,0.1595,1032,206,0.8645,0.4845,-0.0942,True,True,True,True
Faxonius limosus (alien),consensus,local_only,3,20052,84,0.9741,0.9741,0.3015,0.3015,0.0,0.0241,0.0241,1.0,Faxonius_limosus_alien,0.9741,-0.0044,0.0191,0.7866,0.4389,0.1927,3811,114,0.796,0.4404,-0.0094,True,True,False,False
Faxonius limosus (alien),consensus,local_only,10,20052,84,0.9075,0.9462,0.2901,0.3942,0.0492,0.0425,0.0038,1.3588,Faxonius_limosus_alien,0.9075,-0.0068,0.036,0.7692,0.3811,0.2015,3811,381,0.796,0.4404,-0.0268,True,True,False,False
Faxonius limosus (alien),consensus,local_only,20,20052,84,0.8421,0.9466,0.2864,0.5388,0.1225,0.1079,0.0034,1.8811,Faxonius_limosus_alien,0.8421,-0.0102,0.0552,0.7479,0.374,0.2031,3811,762,0.796,0.4404,-0.0481,True,True,True,True
Faxonius limosus (alien),consensus,upstream_only,3,20052,84,0.9825,0.9825,0.1744,0.1744,0.0,0.0325,0.0325,1.0,Faxonius_limosus_alien,0.9825,-0.0074,0.0157,0.7334,0.3645,0.2108,3811,114,0.7295,0.3573,0.0039,True,True,False,False
Faxonius limosus (alien),consensus,upstream_only,10,20052,84,0.5458,0.9694,0.1716,0.1776,0.003,0.4042,0.0194,1.0348,Faxonius_limosus_alien,0.5458,-0.0242,0.0268,0.7065,0.3067,0.2176,3811,381,0.7295,0.3573,-0.023,True,True,True,True
Faxonius limosus (alien),consensus,upstream_only,20,20052,84,0.514,0.9573,0.1614,0.2177,0.0281,0.436,0.0073,1.3488,Faxonius_limosus_alien,0.514,-0.0441,0.0447,0.6888,0.2756,0.2208,3811,762,0.7295,0.3573,-0.0407,True,False,True,False
Faxonius limosus (alien),consensus,combined,3,20052,84,0.9743,0.9743,0.3064,0.3064,0.0,0.0243,0.0243,1.0,Faxonius_limosus_alien,0.9743,-0.0065,0.0206,0.785,0.4249,0.1918,3811,114,0.7815,0.4373,0.0035,True,True,False,False
Faxonius limosus (alien),consensus,combined,10,20052,84,0.909,0.9432,0.3026,0.3883,0.0419,0.041,0.0068,1.2835,Faxonius_limosus_alien,0.909,-0.0116,0.0379,0.7565,0.364,0.2026,3811,381,0.7815,0.4373,-0.025,True,True,False,False
Faxonius limosus (alien),consensus,combined,20,20052,84,0.8346,0.9389,0.3083,0.529,0.111,0.1154,0.0111,1.7159,Faxonius_limosus_alien,0.8346,-0.0158,0.0598,0.7447,0.3629,0.2056,3811,762,0.7815,0.4373,-0.0368,True,True,True,True
Pacifastacus leniusculus (alien),consensus,local_only,3,37449,121,0.9738,0.9738,0.2783,0.2783,0.0,0.0238,0.0238,1.0,Pacifastacus_leniusculus_alien,0.9738,-0.0046,0.0177,0.8681,0.5292,0.1457,4171,125,0.8776,0.5875,-0.0095,True,True,False,False
Pacifastacus leniusculus (alien),consensus,local_only,10,37449,121,0.9085,0.9269,0.2853,0.3998,0.0507,0.0415,0.0231,1.4013,Pacifastacus_leniusculus_alien,0.9085,-0.0142,0.0412,0.8422,0.4778,0.1619,4171,417,0.8776,0.5875,-0.0354,True,True,False,False
Pacifastacus leniusculus (alien),consensus,local_only,20,37449,121,0.8638,0.9235,0.2979,0.566,0.1275,0.0862,0.0265,1.9,Pacifastacus_leniusculus_alien,0.8638,-0.0239,0.0629,0.8158,0.4526,0.1787,4171,834,0.8776,0.5875,-0.0618,True,True,True,True
Pacifastacus leniusculus (alien),consensus,upstream_only,3,37449,121,0.9943,0.9943,0.1845,0.1845,0.0,0.0443,0.0443,1.0,Pacifastacus_leniusculus_alien,0.9943,-0.0051,0.01,0.7942,0.4504,0.1798,4171,125,0.8024,0.4772,-0.0082,True,True,False,False
Pacifastacus leniusculus (alien),consensus,upstream_only,10,37449,121,0.6279,0.9798,0.1828,0.1953,0.0062,0.3221,0.0298,1.068,Pacifastacus_leniusculus_alien,0.6279,-0.0136,0.0239,0.7791,0.423,0.1866,4171,417,0.8024,0.4772,-0.0233,True,True,True,True
Pacifastacus leniusculus (alien),consensus,upstream_only,20,37449,121,0.6119,0.974,0.1806,0.2505,0.035,0.3381,0.024,1.3873,Pacifastacus_leniusculus_alien,0.6119,-0.0204,0.0397,0.758,0.3657,0.1959,4171,834,0.8024,0.4772,-0.0444,True,True,True,True
Pacifastacus leniusculus (alien),consensus,combined,3,37449,121,0.9697,0.9697,0.2177,0.2178,0.0,0.0197,0.0197,1.0005,Pacifastacus_leniusculus_alien,0.9697,-0.0031,0.0168,0.8651,0.5537,0.1427,4171,125,0.8731,0.564,-0.008,True,True,False,False
Pacifastacus leniusculus (alien),consensus,combined,10,37449,121,0.9043,0.931,0.2303,0.3699,0.0614,0.0457,0.019,1.6063,Pacifastacus_leniusculus_alien,0.9043,-0.0098,0.0383,0.8388,0.4954,0.1576,4171,417,0.8731,0.564,-0.0343,True,True,False,False
Pacifastacus leniusculus (alien),consensus,combined,20,37449,121,0.8588,0.9253,0.2485,0.5424,0.1391,0.0912,0.0247,2.1832,Pacifastacus_leniusculus_alien,0.8588,-0.0175,0.0604,0.8168,0.4643,0.1694,4171,834,0.8731,0.564,-0.0563,True,True,True,True
Pontastacus leptodactylus (pooled),consensus,local_only,3,22945,112,0.9891,0.9891,0.3029,0.3029,0.0,0.0391,0.0391,1.0,Pontastacus_leptodactylus_pooled,0.9891,-0.0014,0.0132,0.7974,0.4635,0.1728,1496,45,0.7957,0.4593,0.0017,True,True,False,False
Pontastacus leptodactylus (pooled),consensus,local_only,10,22945,112,0.9613,0.9613,0.2902,0.2902,0.0,0.0113,0.0113,1.0,Pontastacus_leptodactylus_pooled,0.9613,-0.0075,0.0234,0.8033,0.4715,0.181,1496,150,0.7957,0.4593,0.0076,True,True,False,False
Pontastacus leptodactylus (pooled),consensus,local_only,20,22945,112,0.9234,0.9444,0.2848,0.3159,0.0176,0.0266,0.0056,1.1093,Pontastacus_leptodactylus_pooled,0.9234,-0.0144,0.035,0.7862,0.4284,0.1897,1496,299,0.7957,0.4593,-0.0095,True,True,False,False
Pontastacus leptodactylus (pooled),consensus,upstream_only,3,22945,112,0.9949,0.9949,0.1793,0.1793,0.0,0.0449,0.0449,1.0,Pontastacus_leptodactylus_pooled,0.9949,-0.0016,0.0082,0.7265,0.2993,0.2012,1496,45,0.7316,0.3148,-0.0051,True,True,False,False
