model,auc,brier,sensitivity,specificity,tss,boyce,n_folds,entity,entity_dir,track,level,n_presence,n_contaminant
consensus_mean,0.8234,0.1426,0.8151,0.6832,0.4982,0.8909,5,Astacus astacus,Astacus_astacus,combined,0,2058,0
consensus_median,0.8221,0.141,0.8165,0.6821,0.4986,0.8715,5,Astacus astacus,Astacus_astacus,combined,0,2058,0
gam,0.7778,0.1651,0.7906,0.6517,0.4424,0.8618,5,Astacus astacus,Astacus_astacus,combined,0,2058,0
glm,0.7591,0.1677,0.8031,0.6247,0.4278,0.6776,5,Astacus astacus,Astacus_astacus,combined,0,2058,0
random_forest,0.8421,0.1423,0.7658,0.7415,0.5073,0.9903,5,Astacus astacus,Astacus_astacus,combined,0,2058,0
xgboost,0.8284,0.1774,0.7666,0.6897,0.4563,0.8369,5,Astacus astacus,Astacus_astacus,combined,0,2058,0
consensus_mean,0.8062,0.1455,0.7536,0.7171,0.4707,0.9563,5,Astacus astacus,Astacus_astacus,combined,10,2058,206
consensus_median,0.8065,0.1457,0.7584,0.7072,0.4656,0.8982,5,Astacus astacus,Astacus_astacus,combined,10,2058,206
gam,0.7677,0.1663,0.7637,0.6588,0.4225,0.8209,5,Astacus astacus,Astacus_astacus,combined,10,2058,206
glm,0.7227,0.1726,0.7701,0.6344,0.4045,0.7309,5,Astacus astacus,Astacus_astacus,combined,10,2058,206
random_forest,0.8283,0.1505,0.7172,0.7513,0.4686,0.8982,5,Astacus astacus,Astacus_astacus,combined,10,2058,206
xgboost,0.8092,0.1585,0.7125,0.7261,0.4385,0.8958,5,Astacus astacus,Astacus_astacus,combined,10,2058,206
consensus_mean,0.7209,0.1765,0.7215,0.5507,0.2722,0.8812,5,Astacus astacus,Astacus_astacus,combined,20,2058,412
consensus_median,0.7187,0.1762,0.7191,0.5444,0.2635,0.8545,5,Astacus astacus,Astacus_astacus,combined,20,2058,412
gam,0.688,0.1898,0.7356,0.5313,0.2669,0.8448,5,Astacus astacus,Astacus_astacus,combined,20,2058,412
glm,0.6865,0.1909,0.7303,0.5177,0.248,0.6921,5,Astacus astacus,Astacus_astacus,combined,20,2058,412
random_forest,0.7271,0.1842,0.6727,0.5344,0.207,0.7042,5,Astacus astacus,Astacus_astacus,combined,20,2058,412
xgboost,0.707,0.2053,0.6858,0.5478,0.2336,0.6814,5,Astacus astacus,Astacus_astacus,combined,20,2058,412
consensus_mean,0.7981,0.1536,0.7847,0.6525,0.4372,0.9241,5,Astacus astacus,Astacus_astacus,combined,3,2058,62
consensus_median,0.7987,0.1516,0.7861,0.6428,0.4289,0.9345,5,Astacus astacus,Astacus_astacus,combined,3,2058,62
gam,0.7546,0.1697,0.7736,0.5997,0.3732,0.8618,5,Astacus astacus,Astacus_astacus,combined,3,2058,62
glm,0.7352,0.1718,0.7899,0.5843,0.3741,0.7739,5,Astacus astacus,Astacus_astacus,combined,3,2058,62
random_forest,0.8228,0.1548,0.741,0.645,0.386,0.9089,5,Astacus astacus,Astacus_astacus,combined,3,2058,62
xgboost,0.7884,0.1926,0.7348,0.6092,0.344,0.8339,5,Astacus astacus,Astacus_astacus,combined,3,2058,62
consensus_mean,0.8201,0.145,0.813,0.6779,0.4909,0.9308,5,Astacus astacus,Astacus_astacus,local_only,0,2058,0
consensus_median,0.816,0.1444,0.8158,0.6714,0.4872,0.8539,5,Astacus astacus,Astacus_astacus,local_only,0,2058,0
gam,0.7713,0.1676,0.8074,0.6372,0.4446,0.7673,5,Astacus astacus,Astacus_astacus,local_only,0,2058,0
glm,0.7505,0.1695,0.8137,0.6385,0.4522,0.6315,5,Astacus astacus,Astacus_astacus,local_only,0,2058,0
random_forest,0.8409,0.143,0.7712,0.7335,0.5047,0.9564,5,Astacus astacus,Astacus_astacus,local_only,0,2058,0
xgboost,0.829,0.1789,0.7612,0.687,0.4483,0.7527,5,Astacus astacus,Astacus_astacus,local_only,0,2058,0
consensus_mean,0.8104,0.1488,0.7691,0.7174,0.4864,0.9388,5,Astacus astacus,Astacus_astacus,local_only,10,2058,206
consensus_median,0.8087,0.1489,0.7666,0.6973,0.4639,0.9321,5,Astacus astacus,Astacus_astacus,local_only,10,2058,206
