entity_dir,track,level,method,coverage,coverage_never_trained,median_width,mean_diff,gradient
Astacus_astacus,combined,10,uncalibrated,0.82097,0.81522,0.22492,0.04359,0.58393
Astacus_astacus,combined,10,platt,0.86163,0.84955,0.21747,0.02626,0.4528
Astacus_astacus,combined,10,isotonic,0.79872,0.78478,0.21611,0.03289,0.64065
Astacus_astacus,combined,20,uncalibrated,0.69345,0.68748,0.23725,0.07421,0.62993
Astacus_astacus,combined,20,platt,0.62684,0.60402,0.20934,0.06731,0.80536
Astacus_astacus,combined,20,isotonic,0.67127,0.65039,0.22766,0.06654,0.86581
Astacus_astacus,combined,3,uncalibrated,0.96697,0.96702,0.21978,0.01624,0.50772
Astacus_astacus,combined,3,platt,0.96209,0.95916,0.20481,0.01061,0.75146
Astacus_astacus,combined,3,isotonic,0.94712,0.94182,0.22187,0.00848,0.52358
Astacus_astacus,local_only,10,uncalibrated,0.83807,0.83328,0.23398,0.04186,0.5932
Astacus_astacus,local_only,10,platt,0.87804,0.86915,0.22441,0.01991,0.5091
Astacus_astacus,local_only,10,isotonic,0.84549,0.83328,0.22187,0.02369,0.55431
Astacus_astacus,local_only,20,uncalibrated,0.71707,0.71096,0.24633,0.07238,0.63646
Astacus_astacus,local_only,20,platt,0.66976,0.64579,0.22008,0.06047,0.81428
Astacus_astacus,local_only,20,isotonic,0.71343,0.69298,0.23826,0.05727,0.79377
Astacus_astacus,local_only,3,uncalibrated,0.9748,0.97537,0.23228,0.01546,0.50738
Astacus_astacus,local_only,3,platt,0.96717,0.96533,0.22028,0.00573,0.78579
Astacus_astacus,local_only,3,isotonic,0.96106,0.95803,0.21174,0.00203,0.32736
Astacus_astacus,upstream_only,10,uncalibrated,0.54738,0.54769,0.09851,0.02521,0.56124
Astacus_astacus,upstream_only,10,platt,0.94932,0.94543,0.12451,0.02271,0.66399
Astacus_astacus,upstream_only,10,isotonic,0.53186,0.52818,0.11924,0.02992,0.4762
Astacus_astacus,upstream_only,20,uncalibrated,0.49526,0.49643,0.1167,0.0449,0.62605
Astacus_astacus,upstream_only,20,platt,0.45955,0.45244,0.12039,0.0385,0.73119
Astacus_astacus,upstream_only,20,isotonic,0.48819,0.48535,0.1724,0.06482,0.73567
Astacus_astacus,upstream_only,3,uncalibrated,0.99629,0.99663,0.08727,0.00867,0.4737
Astacus_astacus,upstream_only,3,platt,0.9965,0.99671,0.12869,0.00504,0.73039
Astacus_astacus,upstream_only,3,isotonic,0.98963,0.98885,0.12507,0.00436,0.23872
Austropotamobius_fulcisianus_pooled,combined,10,uncalibrated,0.98872,0.99016,0.22122,0.01746,0.42982
Austropotamobius_fulcisianus_pooled,combined,10,platt,0.97571,0.9762,0.23674,0.01426,0.47713
Austropotamobius_fulcisianus_pooled,combined,10,isotonic,0.94882,0.94953,0.24687,0.01282,0.14306
Austropotamobius_fulcisianus_pooled,combined,20,uncalibrated,0.97177,0.97491,0.22396,0.02295,0.46334
Austropotamobius_fulcisianus_pooled,combined,20,platt,0.05189,0.05019,0.18812,0.24673,0.43651
Austropotamobius_fulcisianus_pooled,combined,20,isotonic,0.70097,0.695,0.29242,0.0618,0.47492
Austropotamobius_fulcisianus_pooled,combined,3,uncalibrated,0.99748,0.99774,0.20289,0.00313,0.17441
Austropotamobius_fulcisianus_pooled,combined,3,platt,0.56155,0.55614,0.26076,0.06286,0.64748
Austropotamobius_fulcisianus_pooled,combined,3,isotonic,0.88069,0.87514,0.27648,0.02128,0.73427
Austropotamobius_fulcisianus_pooled,local_only,10,uncalibrated,0.98786,0.98881,0.27401,0.02092,0.45347
Austropotamobius_fulcisianus_pooled,local_only,10,platt,0.97611,0.97662,0.37507,0.03487,0.55836
Austropotamobius_fulcisianus_pooled,local_only,10,isotonic,0.96562,0.96543,0.28737,0.02078,0.51255
Austropotamobius_fulcisianus_pooled,local_only,20,uncalibrated,0.97059,0.9733,0.28343,0.02729,0.54417
Austropotamobius_fulcisianus_pooled,local_only,20,platt,0.06025,0.05973,0.33211,0.24103,0.36396
