cell,member,before_brier,before_ece,before_cal_intercept,before_cal_slope,platt_brier,platt_ece,platt_cal_intercept,platt_cal_slope,isotonic_brier,isotonic_ece,isotonic_cal_intercept,isotonic_cal_slope,entity_dir,track,level
Astacus_astacus__consensus__combined__benchmark__L0,glm,0.17734,0.03885,0.03586,0.87179,0.1951,0.08156,-0.02997,0.74089,0.19674,0.10048,0.0153,0.65832,Astacus_astacus,combined,0
Astacus_astacus__consensus__combined__benchmark__L0,gam,0.17347,0.03999,0.12691,0.80631,0.1899,0.037,0.03552,0.77752,0.1946,0.0657,0.03505,0.66061,Astacus_astacus,combined,0
Astacus_astacus__consensus__combined__benchmark__L0,random_forest,0.15399,0.04106,0.09202,1.20045,0.19526,0.11838,0.04976,0.61556,0.20871,0.14909,0.03962,0.49675,Astacus_astacus,combined,0
Astacus_astacus__consensus__combined__benchmark__L0,xgboost,0.20057,0.16089,0.18784,0.42997,0.22455,0.11518,0.07039,0.46538,0.22848,0.15146,0.04337,0.41995,Astacus_astacus,combined,0
Astacus_astacus__consensus__combined__lowacc__L10,glm,0.18829,0.02779,-0.00171,0.91104,0.19968,0.04421,-0.05521,0.81604,0.20463,0.06761,0.00811,0.65518,Astacus_astacus,combined,10
Astacus_astacus__consensus__combined__lowacc__L10,gam,0.18418,0.03317,0.07357,0.87881,0.19245,0.02116,0.00519,0.89753,0.1971,0.04452,0.02123,0.75665,Astacus_astacus,combined,10
Astacus_astacus__consensus__combined__lowacc__L10,random_forest,0.17121,0.04481,0.00252,1.27646,0.19055,0.08722,0.00877,0.75274,0.20874,0.13352,-0.03845,0.57792,Astacus_astacus,combined,10
Astacus_astacus__consensus__combined__lowacc__L10,xgboost,0.18602,0.1027,0.15812,0.57361,0.19759,0.09471,0.03595,0.72624,0.20317,0.12269,-0.03073,0.62006,Astacus_astacus,combined,10
Astacus_astacus__consensus__combined__lowacc__L20,glm,0.20273,0.03413,0.02287,0.81278,0.21165,0.03366,-0.06094,0.83278,0.22109,0.07505,0.03144,0.47188,Astacus_astacus,combined,20
Astacus_astacus__consensus__combined__lowacc__L20,gam,0.2009,0.04119,0.07469,0.7426,0.20806,0.01837,-0.02991,0.89389,0.21461,0.05203,0.01004,0.66011,Astacus_astacus,combined,20
Astacus_astacus__consensus__combined__lowacc__L20,random_forest,0.20252,0.0403,-0.12462,0.94525,0.22594,0.10672,0.01128,0.64296,0.24115,0.17883,-0.05299,0.37868,Astacus_astacus,combined,20
Astacus_astacus__consensus__combined__lowacc__L20,xgboost,0.22683,0.14144,-0.01607,0.43971,0.23358,0.10464,0.02909,0.57111,0.24327,0.18639,-0.02673,0.33213,Astacus_astacus,combined,20
Astacus_astacus__consensus__combined__lowacc__L3,glm,0.18309,0.03576,0.00452,0.87886,0.19842,0.06932,-0.05589,0.77563,0.20221,0.0938,-0.00402,0.66213,Astacus_astacus,combined,3
Astacus_astacus__consensus__combined__lowacc__L3,gam,0.18262,0.04536,0.07269,0.78375,0.19512,0.03553,-0.00403,0.83323,0.20117,0.05321,0.02204,0.67964,Astacus_astacus,combined,3
Astacus_astacus__consensus__combined__lowacc__L3,random_forest,0.16942,0.02448,-0.0234,1.11259,0.19716,0.08902,0.0198,0.69394,0.21381,0.13084,-0.04772,0.50524,Astacus_astacus,combined,3
Astacus_astacus__consensus__combined__lowacc__L3,xgboost,0.21006,0.15356,0.05597,0.43194,0.22138,0.11834,0.03711,0.56142,0.22507,0.13832,0.00386,0.46458,Astacus_astacus,combined,3
Astacus_astacus__consensus__local_only__benchmark__L0,glm,0.18,0.04642,0.02887,0.84303,0.20421,0.11894,-0.00699,0.62378,0.20145,0.13217,0.02533,0.50099,Astacus_astacus,local_only,0
Astacus_astacus__consensus__local_only__benchmark__L0,gam,0.17778,0.0476,0.13945,0.77127,0.1994,0.04868,0.05707,0.697,0.20608,0.07942,0.06824,0.58375,Astacus_astacus,local_only,0
Astacus_astacus__consensus__local_only__benchmark__L0,random_forest,0.15506,0.04152,0.06908,1.19436,0.19576,0.11741,0.04838,0.61708,0.20902,0.14443,0.02426,0.4997,Astacus_astacus,local_only,0
Astacus_astacus__consensus__local_only__benchmark__L0,xgboost,0.20263,0.16766,0.20041,0.41881,0.22994,0.13764,0.08331,0.41992,0.23062,0.15005,0.03333,0.40393,Astacus_astacus,local_only,0
Astacus_astacus__consensus__local_only__lowacc__L10,glm,0.18943,0.04322,-0.00105,0.9053,0.20267,0.0836,-0.0347,0.78988,0.20278,0.07025,0.00363,0.57925,Astacus_astacus,local_only,10
Astacus_astacus__consensus__local_only__lowacc__L10,gam,0.18732,0.02451,0.0733,0.84458,0.19844,0.03078,0.02198,0.84664,0.20581,0.07828,0.04898,0.7003,Astacus_astacus,local_only,10
Astacus_astacus__consensus__local_only__lowacc__L10,random_forest,0.17271,0.04255,-0.02208,1.25394,0.19335,0.08788,0.00425,0.74143,0.21316,0.13518,-0.05854,0.55584,Astacus_astacus,local_only,10
Astacus_astacus__consensus__local_only__lowacc__L10,xgboost,0.18975,0.106,0.07472,0.56547,0.20078,0.07234,0.02596,0.72096,0.20635,0.12584,-0.02851,0.60227,Astacus_astacus,local_only,10
Astacus_astacus__consensus__local_only__lowacc__L20,glm,0.20397,0.0461,0.01251,0.80993,0.21436,0.06862,-0.05899,0.82682,0.2193,0.08935,-0.02191,0.65561,Astacus_astacus,local_only,20
Astacus_astacus__consensus__local_only__lowacc__L20,gam,0.20435,0.05167,0.06809,0.70313,0.21403,0.03175,-0.0336,0.84444,0.22182,0.07028,0.01936,0.60749,Astacus_astacus,local_only,20
Astacus_astacus__consensus__local_only__lowacc__L20,random_forest,0.19954,0.03284,-0.13713,0.99356,0.22116,0.09297,0.00495,0.67231,0.24431,0.16262,-0.0518,0.35617,Astacus_astacus,local_only,20
Astacus_astacus__consensus__local_only__lowacc__L20,xgboost,0.22452,0.14183,-0.01429,0.44577,0.2297,0.09242,0.02567,0.60884,0.24127,0.16701,0.00453,0.30357,Astacus_astacus,local_only,20
Astacus_astacus__consensus__local_only__lowacc__L3,glm,0.18509,0.05461,-0.00067,0.85169,0.20486,0.11055,-0.03093,0.70362,0.20369,0.08654,-0.00921,0.64583,Astacus_astacus,local_only,3
