entity_dir,track,level,method,source,coverage,gradient,mean_diff
Astacus_astacus,combined,3,uncalibrated,contaminated,0.96697,0.50772,0.01624
Astacus_astacus,combined,3,uncalibrated,null,0.99705,0.07484,-0.00023
Astacus_astacus,combined,10,uncalibrated,contaminated,0.82097,0.58393,0.04359
Astacus_astacus,combined,10,uncalibrated,null,0.99636,0.16787,-0.0026
Astacus_astacus,combined,20,uncalibrated,contaminated,0.69345,0.62993,0.07421
Astacus_astacus,combined,20,uncalibrated,null,0.99506,0.26468,-0.00408
Astacus_astacus,combined,3,platt,contaminated,0.96477,0.49056,0.02039
Astacus_astacus,combined,3,platt,null,0.99835,0.09578,-6e-05
Astacus_astacus,combined,10,platt,contaminated,0.7979,0.59492,0.05003
Astacus_astacus,combined,10,platt,null,0.9978,0.15173,-0.00243
Astacus_astacus,combined,20,platt,contaminated,0.66625,0.63577,0.07939
Astacus_astacus,combined,20,platt,null,0.99643,0.19773,-0.00395
Astacus_astacus,combined,3,isotonic,contaminated,0.94046,0.49454,0.02531
Astacus_astacus,combined,3,isotonic,null,0.99636,0.01294,4e-05
Astacus_astacus,combined,10,isotonic,contaminated,0.77585,0.64575,0.06073
Astacus_astacus,combined,10,isotonic,null,0.99423,0.0637,-0.0027
Astacus_astacus,combined,20,isotonic,contaminated,0.65527,0.68487,0.09268
Astacus_astacus,combined,20,isotonic,null,0.9908,0.10492,-0.0038
Astacus_astacus,local_only,3,uncalibrated,contaminated,0.9748,0.50738,0.01546
Astacus_astacus,local_only,3,uncalibrated,null,0.99794,0.07003,-0.00058
Astacus_astacus,local_only,10,uncalibrated,contaminated,0.83807,0.5932,0.04186
Astacus_astacus,local_only,10,uncalibrated,null,0.99664,0.1174,-0.0022
Astacus_astacus,local_only,20,uncalibrated,contaminated,0.71707,0.63646,0.07238
Astacus_astacus,local_only,20,uncalibrated,null,0.99581,0.30827,-0.00358
Astacus_astacus,local_only,3,platt,contaminated,0.96862,0.49983,0.01953
Astacus_astacus,local_only,3,platt,null,0.99842,0.11569,-0.00057
Astacus_astacus,local_only,10,platt,contaminated,0.81843,0.59458,0.04852
Astacus_astacus,local_only,10,platt,null,0.99835,0.12873,-0.00229
Astacus_astacus,local_only,20,platt,contaminated,0.68638,0.63955,0.07713
Astacus_astacus,local_only,20,platt,null,0.99643,0.22691,-0.00373
Astacus_astacus,local_only,3,isotonic,contaminated,0.95955,0.57787,0.0219
Astacus_astacus,local_only,3,isotonic,null,0.99684,0.11479,-0.00054
Astacus_astacus,local_only,10,isotonic,contaminated,0.81678,0.62893,0.05369
Astacus_astacus,local_only,10,isotonic,null,0.9954,0.12438,-0.00234
Astacus_astacus,local_only,20,isotonic,contaminated,0.69757,0.65707,0.08264
Astacus_astacus,local_only,20,isotonic,null,0.99361,0.17212,-0.00381
Astacus_astacus,upstream_only,3,uncalibrated,contaminated,0.99629,0.4737,0.00867
Astacus_astacus,upstream_only,3,uncalibrated,null,0.99815,0.11304,-0.0002
Astacus_astacus,upstream_only,10,uncalibrated,contaminated,0.54738,0.56124,0.02521
Astacus_astacus,upstream_only,10,uncalibrated,null,0.99787,0.01756,-0.00138
Astacus_astacus,upstream_only,20,uncalibrated,contaminated,0.49526,0.62605,0.0449
Astacus_astacus,upstream_only,20,uncalibrated,null,0.99341,0.02746,-0.00276
Astacus_astacus,upstream_only,3,platt,contaminated,0.99712,0.4331,0.00809
Astacus_astacus,upstream_only,3,platt,null,0.99876,0.09606,-0.00032
Astacus_astacus,upstream_only,10,platt,contaminated,0.54038,0.56109,0.02265
Astacus_astacus,upstream_only,10,platt,null,0.99863,-0.02561,-0.00155
Astacus_astacus,upstream_only,20,platt,contaminated,0.48194,0.63533,0.03883
Astacus_astacus,upstream_only,20,platt,null,0.99574,0.02893,-0.00295
Astacus_astacus,upstream_only,3,isotonic,contaminated,0.99348,0.37224,0.00553
Astacus_astacus,upstream_only,3,isotonic,null,0.99643,0.11797,-0.00113
Astacus_astacus,upstream_only,10,isotonic,contaminated,0.96257,0.48239,0.04697
Astacus_astacus,upstream_only,10,isotonic,null,0.99451,0.01227,-0.00286
Astacus_astacus,upstream_only,20,isotonic,contaminated,0.92151,0.56063,0.06243
Astacus_astacus,upstream_only,20,isotonic,null,0.99045,0.02257,-0.00459
Austropotamobius_fulcisianus_pooled,combined,3,uncalibrated,contaminated,0.99748,0.17441,0.00313
Austropotamobius_fulcisianus_pooled,combined,3,uncalibrated,null,0.99763,0.10468,-0.00063
