binning,bin,frac_over,mean_diff,n,entity,entity_dir,track,level,source
benchmark,0,0.74653,0.0015,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,contaminated
benchmark,1,0.64343,0.00125,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,contaminated
benchmark,2,0.65099,0.00224,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,contaminated
benchmark,3,0.60997,0.00491,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,contaminated
benchmark,4,0.56484,0.00481,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,contaminated
bland_altman,0,0.73141,0.00128,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,contaminated
bland_altman,1,0.64653,0.00117,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,contaminated
bland_altman,2,0.65161,0.00212,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,contaminated
bland_altman,3,0.60634,0.00422,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,contaminated
bland_altman,4,0.57986,0.00593,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,contaminated
benchmark,0,0.51388,0.00011,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,null
benchmark,1,0.47705,-0.00016,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,null
benchmark,2,0.46535,-0.00058,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,null
benchmark,3,0.44608,-0.00111,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,null
benchmark,4,0.45857,-0.00195,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,null
bland_altman,0,0.49845,-2e-05,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,null
bland_altman,1,0.48161,-0.0002,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,null
bland_altman,2,0.46483,-0.00077,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,null
bland_altman,3,0.44535,-0.00137,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,null
bland_altman,4,0.47069,-0.00133,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,null
benchmark,0,0.78662,0.00263,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,contaminated
benchmark,1,0.65006,0.00228,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,contaminated
benchmark,2,0.68062,0.00478,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,contaminated
benchmark,3,0.63866,0.01291,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,contaminated
benchmark,4,0.62513,0.01519,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,contaminated
bland_altman,0,0.76663,0.00206,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,contaminated
bland_altman,1,0.65285,0.00215,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,contaminated
bland_altman,2,0.67937,0.00421,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,contaminated
bland_altman,3,0.63048,0.01065,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,contaminated
bland_altman,4,0.65175,0.01872,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,contaminated
benchmark,0,0.55221,0.00019,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,null
benchmark,1,0.47716,-0.00041,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,null
benchmark,2,0.37097,-0.00205,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,null
benchmark,3,0.35792,-0.0041,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,null
benchmark,4,0.39486,-0.00536,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,null
bland_altman,0,0.53491,5e-05,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,null
bland_altman,1,0.48151,-0.00049,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,null
bland_altman,2,0.3717,-0.0023,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,null
bland_altman,3,0.35699,-0.00438,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,null
bland_altman,4,0.40802,-0.00461,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,null
benchmark,0,0.79076,0.00393,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,contaminated
benchmark,1,0.63545,0.00366,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,contaminated
benchmark,2,0.67616,0.00825,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,contaminated
benchmark,3,0.63659,0.02205,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,contaminated
benchmark,4,0.66439,0.02827,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,contaminated
bland_altman,0,0.76207,0.00286,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,contaminated
bland_altman,1,0.6398,0.00331,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,contaminated
bland_altman,2,0.67616,0.00723,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,contaminated
bland_altman,3,0.62571,0.01733,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,contaminated
bland_altman,4,0.69961,0.03543,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,contaminated
benchmark,0,0.45546,-0.00015,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
benchmark,1,0.4409,-0.00078,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
benchmark,2,0.30011,-0.00379,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
benchmark,3,0.29152,-0.00679,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
benchmark,4,0.33406,-0.00967,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
bland_altman,0,0.43702,-0.00032,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
bland_altman,1,0.44566,-0.0009,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
bland_altman,2,0.30125,-0.00407,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
bland_altman,3,0.2911,-0.00706,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
bland_altman,4,0.34701,-0.00883,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
benchmark,0,0.74508,0.00138,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
benchmark,1,0.6599,0.00277,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
benchmark,2,0.83715,0.00199,26361,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
benchmark,3,0.50366,0.00129,2599,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
bland_altman,0,0.737,0.00122,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
bland_altman,1,0.65845,0.00255,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
bland_altman,2,0.55889,0.00304,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
bland_altman,3,1.0,0.00126,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
