entity,track,predictor,smd,ks
Procambarus clarkii (alien),local_only,l_CLI1,-0.5404,0.2784
Procambarus clarkii (alien),local_only,l_CLI2,-0.5447,0.2822
Procambarus clarkii (alien),local_only,l_CLI3,-0.5441,0.2812
Procambarus clarkii (alien),local_only,l_CLI4,-0.0687,0.0376
Procambarus clarkii (alien),local_only,l_CLI5,-0.1911,0.1617
Procambarus clarkii (alien),local_only,l_CLI6,-0.1939,0.1645
Procambarus clarkii (alien),local_only,l_CLI7,-0.1926,0.1649
Procambarus clarkii (alien),local_only,l_CLI8,-0.0434,0.0187
Procambarus clarkii (alien),local_only,l_CLI9,-0.3272,0.1544
Procambarus clarkii (alien),local_only,l_CLI10,-0.3278,0.1541
Procambarus clarkii (alien),local_only,l_CLI11,-0.3275,0.1545
Procambarus clarkii (alien),local_only,l_CLI12,-0.0817,0.0294
Procambarus clarkii (alien),local_only,l_CLI13,0.2333,0.11
Procambarus clarkii (alien),local_only,l_CLI14,0.2327,0.109
Procambarus clarkii (alien),local_only,l_CLI15,0.2329,0.1094
Procambarus clarkii (alien),local_only,l_CLI16,-0.0573,0.0234
Procambarus clarkii (alien),local_only,l_CLI17,-0.2955,0.1639
Procambarus clarkii (alien),local_only,l_CLI18,-0.2994,0.1668
Procambarus clarkii (alien),local_only,l_CLI19,-0.2984,0.1662
Procambarus clarkii (alien),local_only,l_CLI20,-0.0587,0.0373
Procambarus clarkii (alien),local_only,l_CLI21,-0.4359,0.1694
Procambarus clarkii (alien),local_only,l_CLI22,-0.4387,0.1732
Procambarus clarkii (alien),local_only,l_CLI23,-0.4381,0.1719
Procambarus clarkii (alien),local_only,l_CLI24,-0.0923,0.0538
Procambarus clarkii (alien),local_only,l_CLI25,0.0959,0.0601
Procambarus clarkii (alien),local_only,l_CLI26,0.0953,0.0595
Procambarus clarkii (alien),local_only,l_CLI27,0.0955,0.0595
Procambarus clarkii (alien),local_only,l_CLI28,-0.0487,0.0203
Procambarus clarkii (alien),local_only,l_CLI29,-0.2169,0.1354
Procambarus clarkii (alien),local_only,l_CLI30,-0.2174,0.137
Procambarus clarkii (alien),local_only,l_CLI31,-0.2176,0.1368
Procambarus clarkii (alien),local_only,l_CLI32,-0.0032,0.0408
Procambarus clarkii (alien),local_only,l_CLI33,-0.305,0.1439
Procambarus clarkii (alien),local_only,l_CLI34,-0.3069,0.1427
Procambarus clarkii (alien),local_only,l_CLI35,-0.3068,0.1438
Procambarus clarkii (alien),local_only,l_CLI36,-0.0392,0.0392
Procambarus clarkii (alien),local_only,l_CLI37,-0.3256,0.176
Procambarus clarkii (alien),local_only,l_CLI38,-0.3302,0.1809
Procambarus clarkii (alien),local_only,l_CLI39,-0.329,0.1797
Procambarus clarkii (alien),local_only,l_CLI40,-0.0579,0.0299
Procambarus clarkii (alien),local_only,l_CLI41,-0.5421,0.2147
Procambarus clarkii (alien),local_only,l_CLI42,-0.5439,0.2156
Procambarus clarkii (alien),local_only,l_CLI43,-0.5439,0.2159
Procambarus clarkii (alien),local_only,l_CLI44,-0.0882,0.0501
Procambarus clarkii (alien),local_only,l_CLI45,0.1045,0.1668
Procambarus clarkii (alien),local_only,l_CLI46,0.0996,0.166
Procambarus clarkii (alien),local_only,l_CLI47,0.102,0.1663
Procambarus clarkii (alien),local_only,l_CLI48,-0.0622,0.0232
Procambarus clarkii (alien),local_only,l_CLI49,-0.132,0.0887
Procambarus clarkii (alien),local_only,l_CLI50,-0.1336,0.0898
Procambarus clarkii (alien),local_only,l_CLI51,-0.1328,0.0893
Procambarus clarkii (alien),local_only,l_CLI52,-0.0994,0.041
Procambarus clarkii (alien),local_only,l_CLI53,0.328,0.196
Procambarus clarkii (alien),local_only,l_CLI54,0.3236,0.1949
Procambarus clarkii (alien),local_only,l_CLI55,0.3258,0.1956
Procambarus clarkii (alien),local_only,l_CLI56,-0.015,0.0882
Procambarus clarkii (alien),local_only,l_CLI57,-0.4554,0.2412
Procambarus clarkii (alien),local_only,l_CLI58,-0.4555,0.2415
Procambarus clarkii (alien),local_only,l_CLI59,-0.4555,0.2414
Procambarus clarkii (alien),local_only,l_CLI60,-0.0918,0.0446
Procambarus clarkii (alien),local_only,l_CLI61,-0.0753,0.0743
Procambarus clarkii (alien),local_only,l_CLI62,-0.0778,0.0729
Procambarus clarkii (alien),local_only,l_CLI63,-0.0766,0.0738
Procambarus clarkii (alien),local_only,l_CLI64,-0.0883,0.0387
Procambarus clarkii (alien),local_only,l_CLI65,0.3093,0.1871
Procambarus clarkii (alien),local_only,l_CLI66,0.3047,0.1867
Procambarus clarkii (alien),local_only,l_CLI67,0.3069,0.1869
Procambarus clarkii (alien),local_only,l_CLI68,-0.0199,0.0774
Procambarus clarkii (alien),local_only,l_CLI69,0.009,0.1406
Procambarus clarkii (alien),local_only,l_CLI70,0.0039,0.1402
Procambarus clarkii (alien),local_only,l_CLI71,0.0065,0.1406
Procambarus clarkii (alien),local_only,l_CLI72,-0.0836,0.069
Procambarus clarkii (alien),local_only,l_CLI73,0.1233,0.0936
Procambarus clarkii (alien),local_only,l_CLI74,0.1174,0.0937
Procambarus clarkii (alien),local_only,l_CLI75,0.1206,0.0934
Procambarus clarkii (alien),local_only,l_CLI76,-0.0546,0.021
Procambarus clarkii (alien),local_only,l_TOP124,-0.0044,0.1061
Procambarus clarkii (alien),local_only,l_TOP125,-0.0261,0.0409
Procambarus clarkii (alien),local_only,l_TOP126,-0.0271,0.049
Procambarus clarkii (alien),local_only,l_TOP127,-0.0265,0.0277
Procambarus clarkii (alien),local_only,l_TOP128,-0.0101,0.0746
Procambarus clarkii (alien),local_only,l_TOP129,-0.0212,0.0795
Procambarus clarkii (alien),local_only,l_TOP130,-0.0278,0.0871
Procambarus clarkii (alien),local_only,l_TOP131,-0.0223,0.052
Procambarus clarkii (alien),local_only,l_LAC1,0.1242,0.0568
Procambarus clarkii (alien),local_only,l_LAC2,-0.1353,0.0477
Procambarus clarkii (alien),local_only,l_LAC3,-0.0526,0.0111
Procambarus clarkii (alien),local_only,l_LAC4,-0.0547,0.0284
Procambarus clarkii (alien),local_only,l_LAC5,-0.1128,0.0166
Procambarus clarkii (alien),local_only,l_LAC6,0.1611,0.0576
Procambarus clarkii (alien),local_only,l_LAC7,0.0027,0.0033
Procambarus clarkii (alien),local_only,l_LAC8,-0.0705,0.007
Procambarus clarkii (alien),local_only,l_LAC9,0.0246,0.0104
Procambarus clarkii (alien),local_only,l_LAC10,-0.0359,0.0111
Procambarus clarkii (alien),local_only,l_LAC11,0.0204,0.0021
Procambarus clarkii (alien),local_only,l_LAC12,-0.1739,0.0598
Procambarus clarkii (alien),local_only,l_LAC13,0.0505,0.0264
Procambarus clarkii (alien),local_only,l_LAC14,,0.0
Procambarus clarkii (alien),local_only,l_LAC15,-0.0621,0.0041
Procambarus clarkii (alien),local_only,l_LAC16,-0.0636,0.008
Procambarus clarkii (alien),local_only,l_LAC17,-0.0389,0.0017
Procambarus clarkii (alien),local_only,l_LAC18,0.0187,0.0064
Procambarus clarkii (alien),local_only,l_LAC19,0.0141,0.0221
Procambarus clarkii (alien),local_only,l_LAC20,-0.0286,0.0046
Procambarus clarkii (alien),local_only,l_LAC21,-0.003,0.0103
Procambarus clarkii (alien),local_only,l_LAC22,,0.0
Procambarus clarkii (alien),local_only,l_SOL1,-0.1873,0.0618
Procambarus clarkii (alien),local_only,l_SOL2,-0.1561,0.0533
Procambarus clarkii (alien),local_only,l_SOL3,-0.1731,0.0619
Procambarus clarkii (alien),local_only,l_SOL4,-0.0207,0.0116
Procambarus clarkii (alien),local_only,l_SOL9,-0.2751,0.1366
Procambarus clarkii (alien),local_only,l_SOL10,-0.2459,0.1165
Procambarus clarkii (alien),local_only,l_SOL11,-0.2636,0.13
Procambarus clarkii (alien),local_only,l_SOL12,0.0502,0.0188
Procambarus clarkii (alien),local_only,l_SOL13,-0.0167,0.0374
Procambarus clarkii (alien),local_only,l_SOL14,0.0467,0.0357
Procambarus clarkii (alien),local_only,l_SOL15,0.0144,0.0293
Procambarus clarkii (alien),local_only,l_SOL16,0.1632,0.0744
Procambarus clarkii (alien),local_only,l_SOL17,0.1718,0.1249
Procambarus clarkii (alien),local_only,l_SOL18,0.2485,0.1598
Procambarus clarkii (alien),local_only,l_SOL19,0.2126,0.1493
Procambarus clarkii (alien),local_only,l_SOL20,0.212,0.0926
Procambarus clarkii (alien),local_only,l_SOL5,-0.1272,0.0588
Procambarus clarkii (alien),local_only,l_SOL6,-0.1002,0.0448
Procambarus clarkii (alien),local_only,l_SOL7,-0.1134,0.0517
Procambarus clarkii (alien),local_only,l_SOL8,0.0427,0.0213
Procambarus clarkii (alien),local_only,l_SOL37,0.0451,0.0668
Procambarus clarkii (alien),local_only,l_SOL38,0.0724,0.0625
Procambarus clarkii (alien),local_only,l_SOL39,0.0596,0.0654
Procambarus clarkii (alien),local_only,l_SOL40,0.0686,0.0348
Procambarus clarkii (alien),local_only,l_SOL41,-0.2193,0.1042
Procambarus clarkii (alien),local_only,l_SOL42,-0.1894,0.0825
Procambarus clarkii (alien),local_only,l_SOL43,-0.2044,0.0963
Procambarus clarkii (alien),local_only,l_SOL44,0.1313,0.0605
Procambarus clarkii (alien),local_only,l_SOL25,0.0829,0.0564
Procambarus clarkii (alien),local_only,l_SOL26,0.0929,0.0618
Procambarus clarkii (alien),local_only,l_SOL27,0.0878,0.0632
Procambarus clarkii (alien),local_only,l_SOL28,-0.0421,0.0131
Procambarus clarkii (alien),local_only,l_SOL29,-0.141,0.0773
Procambarus clarkii (alien),local_only,l_SOL30,-0.1097,0.0766
Procambarus clarkii (alien),local_only,l_SOL31,-0.1292,0.0761
Procambarus clarkii (alien),local_only,l_SOL32,-0.0192,0.0314
Procambarus clarkii (alien),local_only,l_SOL21,-0.2217,0.1038
Procambarus clarkii (alien),local_only,l_SOL22,-0.2493,0.1289
Procambarus clarkii (alien),local_only,l_SOL23,-0.2387,0.1213
Procambarus clarkii (alien),local_only,l_SOL24,-0.197,0.0978
Procambarus clarkii (alien),local_only,l_SOL45,0.1275,0.0675
Procambarus clarkii (alien),local_only,l_SOL46,0.1893,0.1098
Procambarus clarkii (alien),local_only,l_SOL47,0.1662,0.1099
Procambarus clarkii (alien),local_only,l_SOL48,0.1406,0.0612
Procambarus clarkii (alien),local_only,l_SOL53,0.2399,0.0869
Procambarus clarkii (alien),local_only,l_SOL54,0.1771,0.0512
Procambarus clarkii (alien),local_only,l_SOL55,0.2168,0.0871
Procambarus clarkii (alien),local_only,l_SOL56,-0.226,0.0857
Procambarus clarkii (alien),local_only,l_SOL57,-0.0833,0.0294
