taxon,class,n,strahler_1_share,strahler_le2_share,strahler_median,snap_m_median,snap_m_p90,snap_gt_200m_share,snap_gt_1km_share,year_median,year_ge_2015_share,lake_share,ab_200m_mean,ab_500m_mean,ab_1000m_mean
Pcla_a,high,7711,0.3701,0.5138,2.0,57.4687,147.0746,0.0,0.0,2017.0,0.5763,0.0436,0.0,0.0,0.0
Pcla_a,low,10843,0.4508,0.612,2.0,71.9552,228.7641,0.1332,0.005,2018.0,0.6109,0.0334,0.1332,0.013,0.005
Plen,high,4171,0.228,0.3591,3.0,45.4775,120.4243,0.0,0.0,2014.0,0.3119,0.1391,0.0,0.0,0.0
Plen,low,978,0.6094,0.7689,1.0,110.835,280.2802,0.2188,0.002,2019.0,0.6759,0.0235,0.2188,0.0072,0.002
Flim,high,3811,0.2676,0.3902,4.0,45.2748,126.3176,0.0,0.0,2014.0,0.2994,0.0918,0.0,0.0,0.0
Flim,low,1999,0.6233,0.7849,1.0,110.8641,264.8663,0.2186,0.004,2019.0,0.8004,0.036,0.2186,0.012,0.004
Aast,high,2058,0.2362,0.3586,3.0,45.5069,113.6679,0.0,0.0,2015.0,0.5165,0.1919,0.0,0.0,0.0
Aast,low,1813,0.5885,0.7705,1.0,112.2715,273.1432,0.2609,0.0033,2006.0,0.4131,0.0265,0.2609,0.0061,0.0033
Pcla_n,high,1915,0.3937,0.5603,2.0,63.2004,156.0368,0.0,0.0,2018.0,0.7196,0.0209,0.0,0.0,0.0
Pcla_n,low,697,0.4275,0.5768,2.0,73.2203,213.5093,0.1162,0.0,2016.0,0.5638,0.0287,0.1162,0.0029,0.0
Plep,high,1496,0.3723,0.5261,2.0,51.7767,147.5051,0.0,0.0,2013.0,0.4084,0.2353,0.0,0.0,0.0
Plep,low,649,0.5085,0.6687,1.0,109.2401,283.2887,0.2357,0.0077,2007.0,0.3159,0.1294,0.2357,0.0154,0.0077
Ator,high,1032,0.2287,0.406,3.0,46.0747,112.6533,0.0,0.0,2014.0,0.499,0.0078,0.0,0.0,0.0
Ator,low,1211,0.6003,0.7828,1.0,111.4535,255.5208,0.2213,0.0008,2006.0,0.2923,0.0157,0.2213,0.0041,0.0008
Aful,high,744,0.4772,0.6478,2.0,75.2975,169.1857,0.0,0.0,1850.0,0.1129,0.0148,0.0,0.0,0.0
Aful,low,169,0.5325,0.7219,1.0,83.3963,238.939,0.213,0.0,2009.0,0.355,0.0,0.213,0.0059,0.0
ALL,high,22938,0.3145,0.4554,3.0,50.3405,138.9939,0.0,0.0,2014.0,0.4594,0.0903,0.0,0.0,0.0
ALL,low,18359,0.5034,0.6678,1.0,84.2937,245.053,0.1692,0.0041,2017.0,0.5799,0.0342,0.1692,0.0109,0.0041
