entity_dir,track,level,all_n,all_coverage,all_msd_mean,all_msd_median,no_contam_n,no_contam_coverage,no_contam_msd_mean,no_contam_msd_median,no_pool_n,no_pool_coverage,no_pool_msd_mean,no_pool_msd_median,never_trained_n,never_trained_coverage,never_trained_msd_mean,never_trained_msd_median
Astacus_astacus,combined,10,14562,0.82097,0.03162,0.03066,14379,0.8294,0.03113,0.02995,12890,0.85275,0.02815,0.02546,12350,0.81522,0.03239,0.03311
Astacus_astacus,combined,20,14562,0.69345,0.05469,0.05287,14190,0.70881,0.05272,0.05061,12890,0.74213,0.04766,0.04418,12185,0.68748,0.05487,0.05469
Astacus_astacus,combined,3,14562,0.96697,0.01247,0.0092,14507,0.96981,0.01241,0.00907,12890,0.97355,0.01108,0.00732,12462,0.96702,0.01311,0.01123
Astacus_astacus,local_only,10,14562,0.83807,0.0315,0.02857,14379,0.84707,0.03097,0.02782,12890,0.87106,0.02788,0.02359,12350,0.83328,0.03249,0.03116
Astacus_astacus,local_only,20,14562,0.71707,0.05401,0.05105,14190,0.73298,0.05214,0.04883,12890,0.76734,0.04731,0.04238,12185,0.71096,0.05428,0.0528
Astacus_astacus,local_only,3,14562,0.9748,0.01189,0.00805,14507,0.97787,0.01183,0.00797,12890,0.98138,0.01058,0.00618,12462,0.97537,0.0124,0.01002
Astacus_astacus,upstream_only,10,14562,0.54738,0.03537,0.02296,14379,0.55289,0.03537,0.02296,12890,0.57649,0.03512,0.02296,12350,0.54769,0.03537,0.02296
Astacus_astacus,upstream_only,20,14562,0.49526,0.06009,0.04962,14190,0.50536,0.06009,0.04962,12890,0.53103,0.06009,0.04962,12185,0.49643,0.06009,0.04962
Astacus_astacus,upstream_only,3,14562,0.99629,0.01338,0.00062,14507,0.99697,0.01338,0.00062,12890,0.99713,0.01338,0.00062,12462,0.99663,0.01338,0.00062
Austropotamobius_fulcisianus_pooled,combined,10,12681,0.98872,0.01339,0.01018,12628,0.99066,0.01331,0.01008,12557,0.99092,0.01328,0.01002,11889,0.99016,0.01353,0.01041
Austropotamobius_fulcisianus_pooled,combined,20,12681,0.97177,0.01553,0.01247,12572,0.9763,0.01534,0.01217,12557,0.97635,0.01533,0.01215,11836,0.97491,0.01555,0.01248
Austropotamobius_fulcisianus_pooled,combined,3,12681,0.99748,0.00187,-0.00178,12667,0.99787,0.00187,-0.0018,12557,0.99785,0.00184,-0.00183,11925,0.99774,0.00193,-0.00168
Austropotamobius_fulcisianus_pooled,local_only,10,12681,0.98786,0.01985,0.01213,12628,0.98939,0.01978,0.01201,12557,0.98941,0.01977,0.01193,11889,0.98881,0.02002,0.01251
Austropotamobius_fulcisianus_pooled,local_only,20,12681,0.97059,0.02397,0.01664,12572,0.97463,0.02379,0.01625,12557,0.97476,0.02377,0.0162,11836,0.9733,0.02411,0.01695
Austropotamobius_fulcisianus_pooled,local_only,3,12681,0.99558,0.00498,-0.00168,12667,0.99597,0.00496,-0.00172,12557,0.99602,0.00495,-0.0018,11925,0.99581,0.00512,-0.00138
Austropotamobius_fulcisianus_pooled,upstream_only,10,12681,0.98462,-0.00041,-0.00161,12628,0.98535,-0.00041,-0.00161,12557,0.98559,-0.00041,-0.00161,11889,0.98461,-0.00041,-0.00161
Austropotamobius_fulcisianus_pooled,upstream_only,20,12681,0.97579,-0.00058,-0.00243,12572,0.97717,-0.00058,-0.00243,12557,0.9773,-0.00058,-0.00243,11836,0.97592,-0.00058,-0.00243
Austropotamobius_fulcisianus_pooled,upstream_only,3,12681,0.99716,0.00069,0.00036,12667,0.99747,0.00069,0.00036,12557,0.99761,0.00069,0.00036,11925,0.99732,0.00069,0.00036
Austropotamobius_torrentium_pooled,combined,10,11872,0.92621,0.01809,0.02103,11771,0.93306,0.01777,0.02058,10678,0.95673,0.01574,0.0172,10747,0.92668,0.01845,0.02211
Austropotamobius_torrentium_pooled,combined,20,11872,0.85184,0.03222,0.037,11670,0.86418,0.03161,0.03584,10678,0.90382,0.02885,0.03158,10650,0.85202,0.03228,0.03769
