bin,n,frac_over_mean,frac_over_median,entity_dir,track,level,mask
0,2913,0.99313,0.87745,Astacus_astacus,combined,10,all
1,2912,0.99622,0.85474,Astacus_astacus,combined,10,all
2,2912,0.9557,0.82795,Astacus_astacus,combined,10,all
3,2912,0.77988,0.78159,Astacus_astacus,combined,10,all
4,2913,0.4092,0.47957,Astacus_astacus,combined,10,all
0,2470,0.99433,0.87935,Astacus_astacus,combined,10,never_trained
1,2470,0.99555,0.86437,Astacus_astacus,combined,10,never_trained
2,2470,0.94899,0.83036,Astacus_astacus,combined,10,never_trained
3,2470,0.77854,0.82632,Astacus_astacus,combined,10,never_trained
4,2470,0.38745,0.45506,Astacus_astacus,combined,10,never_trained
0,2913,0.99554,0.92207,Astacus_astacus,combined,20,all
1,2912,0.99554,0.90213,Astacus_astacus,combined,20,all
2,2912,0.96463,0.87637,Astacus_astacus,combined,20,all
3,2912,0.76957,0.77644,Astacus_astacus,combined,20,all
4,2913,0.3656,0.41023,Astacus_astacus,combined,20,all
0,2437,0.99508,0.92245,Astacus_astacus,combined,20,never_trained
1,2437,0.99508,0.90644,Astacus_astacus,combined,20,never_trained
2,2437,0.95897,0.87608,Astacus_astacus,combined,20,never_trained
3,2437,0.76241,0.80673,Astacus_astacus,combined,20,never_trained
4,2437,0.33689,0.3808,Astacus_astacus,combined,20,never_trained
0,2913,0.97494,0.64092,Astacus_astacus,combined,3,all
1,2912,0.98214,0.66243,Astacus_astacus,combined,3,all
2,2912,0.94402,0.71497,Astacus_astacus,combined,3,all
3,2912,0.76236,0.70707,Astacus_astacus,combined,3,all
4,2913,0.46722,0.52901,Astacus_astacus,combined,3,all
0,2493,0.97433,0.66827,Astacus_astacus,combined,3,never_trained
1,2492,0.97953,0.6862,Astacus_astacus,combined,3,never_trained
2,2492,0.9378,0.73676,Astacus_astacus,combined,3,never_trained
3,2492,0.75441,0.76284,Astacus_astacus,combined,3,never_trained
4,2493,0.45407,0.50782,Astacus_astacus,combined,3,never_trained
0,2913,0.98661,0.87264,Astacus_astacus,local_only,10,all
1,2912,0.98283,0.81216,Astacus_astacus,local_only,10,all
2,2912,0.93681,0.8228,Astacus_astacus,local_only,10,all
3,2912,0.76854,0.77644,Astacus_astacus,local_only,10,all
4,2913,0.39341,0.47237,Astacus_astacus,local_only,10,all
0,2470,0.98988,0.88178,Astacus_astacus,local_only,10,never_trained
1,2470,0.98016,0.817,Astacus_astacus,local_only,10,never_trained
2,2470,0.92955,0.82874,Astacus_astacus,local_only,10,never_trained
3,2470,0.76397,0.81134,Astacus_astacus,local_only,10,never_trained
4,2470,0.37126,0.45344,Astacus_astacus,local_only,10,never_trained
0,2913,0.99039,0.91246,Astacus_astacus,local_only,20,all
1,2912,0.98455,0.87431,Astacus_astacus,local_only,20,all
2,2912,0.9557,0.87706,Astacus_astacus,local_only,20,all
3,2912,0.77953,0.79705,Astacus_astacus,local_only,20,all
4,2913,0.35393,0.40233,Astacus_astacus,local_only,20,all
0,2437,0.99179,0.9167,Astacus_astacus,local_only,20,never_trained
1,2437,0.98195,0.87279,Astacus_astacus,local_only,20,never_trained
2,2437,0.95281,0.87485,Astacus_astacus,local_only,20,never_trained
3,2437,0.77226,0.82191,Astacus_astacus,local_only,20,never_trained
4,2437,0.32663,0.37464,Astacus_astacus,local_only,20,never_trained
0,2913,0.97391,0.60728,Astacus_astacus,local_only,3,all
1,2912,0.96154,0.58036,Astacus_astacus,local_only,3,all
2,2912,0.91724,0.69712,Astacus_astacus,local_only,3,all
3,2912,0.75275,0.71772,Astacus_astacus,local_only,3,all
4,2913,0.46653,0.53175,Astacus_astacus,local_only,3,all
0,2493,0.97513,0.63939,Astacus_astacus,local_only,3,never_trained
1,2492,0.95746,0.59872,Astacus_astacus,local_only,3,never_trained
2,2492,0.90851,0.72753,Astacus_astacus,local_only,3,never_trained
3,2492,0.7508,0.76766,Astacus_astacus,local_only,3,never_trained
4,2493,0.45808,0.52828,Astacus_astacus,local_only,3,never_trained
0,2913,0.94988,0.65637,Astacus_astacus,upstream_only,10,all
1,2912,0.78228,0.56971,Astacus_astacus,upstream_only,10,all
2,2912,0.98798,0.9897,Astacus_astacus,upstream_only,10,all
3,2912,1.0,1.0,Astacus_astacus,upstream_only,10,all
4,2913,0.47511,0.52558,Astacus_astacus,upstream_only,10,all
0,2470,0.94899,0.66721,Astacus_astacus,upstream_only,10,never_trained
1,2470,0.78947,0.60243,Astacus_astacus,upstream_only,10,never_trained
2,2470,1.0,1.0,Astacus_astacus,upstream_only,10,never_trained
3,2470,1.0,1.0,Astacus_astacus,upstream_only,10,never_trained
4,2470,0.44818,0.51093,Astacus_astacus,upstream_only,10,never_trained
0,2913,0.97631,0.82183,Astacus_astacus,upstream_only,20,all
1,2912,0.80151,0.65694,Astacus_astacus,upstream_only,20,all
2,2912,0.98626,0.98798,Astacus_astacus,upstream_only,20,all
3,2912,1.0,1.0,Astacus_astacus,upstream_only,20,all
4,2913,0.44216,0.48438,Astacus_astacus,upstream_only,20,all
0,2437,0.97456,0.82519,Astacus_astacus,upstream_only,20,never_trained
1,2437,0.80878,0.67993,Astacus_astacus,upstream_only,20,never_trained
2,2437,1.0,1.0,Astacus_astacus,upstream_only,20,never_trained
3,2437,1.0,1.0,Astacus_astacus,upstream_only,20,never_trained
4,2437,0.40747,0.45876,Astacus_astacus,upstream_only,20,never_trained
0,2913,0.90113,0.33505,Astacus_astacus,upstream_only,3,all
1,2912,0.73283,0.41964,Astacus_astacus,upstream_only,3,all
2,2912,0.98764,0.99038,Astacus_astacus,upstream_only,3,all
3,2912,1.0,1.0,Astacus_astacus,upstream_only,3,all
4,2913,0.50841,0.54892,Astacus_astacus,upstream_only,3,all
0,2493,0.89611,0.3578,Astacus_astacus,upstream_only,3,never_trained
1,2492,0.73917,0.46188,Astacus_astacus,upstream_only,3,never_trained
2,2492,1.0,1.0,Astacus_astacus,upstream_only,3,never_trained
3,2492,1.0,1.0,Astacus_astacus,upstream_only,3,never_trained
4,2493,0.49258,0.54152,Astacus_astacus,upstream_only,3,never_trained
0,2537,0.97477,0.75641,Austropotamobius_fulcisianus_pooled,combined,10,all
1,2536,0.9791,0.71767,Austropotamobius_fulcisianus_pooled,combined,10,all
2,2536,0.88249,0.67705,Austropotamobius_fulcisianus_pooled,combined,10,all
3,2536,0.66956,0.63565,Austropotamobius_fulcisianus_pooled,combined,10,all
