algorithm,n_saved,n_new,n_common,max_abs_diff,entity,entity_dir,track,level
glm,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,combined,0
gam,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,combined,0
random_forest,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,combined,0
xgboost,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,combined,0
glm,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,combined,10
gam,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,combined,10
random_forest,14562,14562,14562,2.220446049250313e-16,Astacus astacus,Astacus_astacus,combined,10
xgboost,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,combined,10
glm,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,combined,20
gam,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,combined,20
random_forest,14562,14562,14562,2.220446049250313e-16,Astacus astacus,Astacus_astacus,combined,20
xgboost,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,combined,20
glm,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,combined,3
gam,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,combined,3
random_forest,14562,14562,14562,2.220446049250313e-16,Astacus astacus,Astacus_astacus,combined,3
xgboost,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,combined,3
glm,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,local_only,0
gam,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,local_only,0
random_forest,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,local_only,0
xgboost,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,local_only,0
glm,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,local_only,10
gam,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,local_only,10
random_forest,14562,14562,14562,2.220446049250313e-16,Astacus astacus,Astacus_astacus,local_only,10
xgboost,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,local_only,10
glm,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,local_only,20
gam,14562,14562,14562,0.0,Astacus astacus,Astacus_astacus,local_only,20
random_forest,14562,14562,14562,1.1102230246251563e-16,Astacus astacus,Astacus_astacus,local_only,20
